IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
162.159.152.38,443,443,TRUE,ORD,North America,Chicago,0,12.82
162.159.152.105,443,443,TRUE,ORD,North America,Chicago,0,11.51
162.159.153.9,443,443,TRUE,ORD,North America,Chicago,0,10.23
162.159.152.84,443,443,TRUE,ORD,North America,Chicago,0,9.44
162.159.152.135,443,443,TRUE,ORD,North America,Chicago,0,8.76
162.159.153.51,443,443,TRUE,ORD,North America,Chicago,0,8.49
162.159.152.224,443,443,TRUE,ORD,North America,Chicago,0,8.32
162.159.153.102,443,443,TRUE,ORD,North America,Chicago,0,8.01
162.159.153.202,443,443,TRUE,FRA,Europe,Frankfurt,0,6.25
162.159.152.10,443,443,TRUE,ORD,North America,Chicago,0,5.96
162.159.153.126,443,443,TRUE,IAD,North America,Ashburn,0,5.75
162.159.152.60,443,443,TRUE,FRA,Europe,Frankfurt,0,5.28
162.159.153.20,443,443,TRUE,ORD,North America,Chicago,0,4.7
162.159.152.140,443,443,TRUE,FRA,Europe,Frankfurt,0,4.69
162.159.152.173,443,443,TRUE,FRA,Europe,Frankfurt,0,4.59
162.159.153.168,443,443,TRUE,FRA,Europe,Frankfurt,0,4.24
162.159.152.131,443,443,TRUE,CDG,Europe,Paris,0,4.01
162.159.152.183,443,443,TRUE,FRA,Europe,Frankfurt,0,4
162.159.152.27,443,443,TRUE,ORD,North America,Chicago,0,3.85
162.159.152.137,443,443,TRUE,FRA,Europe,Frankfurt,0,3.81
162.159.152.44,443,443,TRUE,IAD,North America,Ashburn,0,3.51
162.159.153.239,443,443,TRUE,CDG,Europe,Paris,0,1.56
162.159.153.132,443,443,TRUE,IAD,North America,Ashburn,0,1.28
162.159.153.139,443,443,TRUE,AMS,Europe,Amsterdam,0,1.08
162.159.152.151,443,443,TRUE,AMS,Europe,Amsterdam,0,0.61
162.159.153.130,443,443,TRUE,FRA,Europe,Frankfurt,0,0.34
162.159.152.187,443,443,TRUE,ORD,North America,Chicago,0,0.21
162.159.152.162,443,443,TRUE,FRA,Europe,Frankfurt,0,0.19
162.159.152.157,443,443,TRUE,ORD,North America,Chicago,0,0.18
162.159.152.114,443,443,TRUE,FRA,Europe,Frankfurt,0,0.11
162.159.152.210,443,443,TRUE,LHR,Europe,London,0.5,0.04
104.19.58.163,443,443,TRUE,ORD,North America,Chicago,0.5,36.14
104.19.47.13,443,443,TRUE,LHR,Europe,London,0.25,35.69
104.19.41.92,443,443,TRUE,FRA,Europe,Frankfurt,0.5,34.31
104.19.47.145,443,443,TRUE,FRA,Europe,Frankfurt,0.25,34.24
104.19.48.194,443,443,TRUE,AMS,Europe,Amsterdam,0.25,34.13
104.19.36.29,443,443,TRUE,ORD,North America,Chicago,0.25,34.12
104.19.46.99,443,443,TRUE,ORD,North America,Chicago,0.25,33.95
104.19.47.144,443,443,TRUE,FRA,Europe,Frankfurt,0.5,33.94
104.19.49.32,443,443,TRUE,FRA,Europe,Frankfurt,0.5,33.92
104.19.55.76,443,443,TRUE,FRA,Europe,Frankfurt,0.5,33.92
104.19.50.141,443,443,TRUE,AMS,Europe,Amsterdam,0.5,33.84
104.19.36.30,443,443,TRUE,FRA,Europe,Frankfurt,0.5,33.83
104.19.63.111,443,443,TRUE,CDG,Europe,Paris,0.5,33.77
104.19.54.240,443,443,TRUE,FRA,Europe,Frankfurt,0.5,33.67
104.19.57.205,443,443,TRUE,FRA,Europe,Frankfurt,0.25,33.3
104.19.40.206,443,443,TRUE,IAD,North America,Ashburn,0.5,32.76
104.19.38.208,443,443,TRUE,FRA,Europe,Frankfurt,0.5,32.43
104.19.34.83,443,443,TRUE,CDG,Europe,Paris,0.5,32.15
104.19.59.131,443,443,TRUE,FRA,Europe,Frankfurt,0.5,28.01
104.19.37.50,443,443,TRUE,FRA,Europe,Frankfurt,178,19.98
